ref,current_recall_status,TITLE,URL,MODULES,COMMITS
pull/1974,curated_match,rpc/api: fix #1972 api regression (nil eth panic) in attach,https://github.com/ethereum/go-ethereum/pull/1974,{'rpc': 2},"{'6e5349880e79b8321ae311d824493e4581039d30', 'da6696862eff91736ec9a694026a14f984f85f57'}"
pull/19757,curated_match,eth: fix sync bloom panic,https://github.com/ethereum/go-ethereum/pull/19757,{'network': 4},"{'fd072c2fd1cfab5d8064985d21832fcac50045eb', '4eb98cc2587345316483c7029e7d2993e4c5d12a', 'a6150bfb0985074b147692cd6b33b5a827070aef'}"
pull/19764,curated_match,core: fix fast head updating logic,https://github.com/ethereum/go-ethereum/pull/19764,{'consensus': 1},"{'ca6c8c2af443e99497cd49b6b122094ad08205b7', 'a6732c333c1988149e7b1599e6d4b646f8978bfa'}"
pull/20013,curated_match,les: fix panic,https://github.com/ethereum/go-ethereum/pull/20013,{'others': 1},"{'396f1dd87b91cc08a1db08aaa2b901a47b69d26f', '7f98ea4a47700a8fc8b8a784f2e43d08f9692693'}"
pull/20019,curated_match,eth: disallow overwrite files via admin.exportChain,https://github.com/ethereum/go-ethereum/pull/20019,{'others': 1},"{'d5bd38384c1c0630d77468c12c8ad99d57ac2229', '292cf7c649c4fa6cc63ed6a1ae9368d1dc70588d'}"
pull/20540,curated_match,core/state: add more verbosity to panic,https://github.com/ethereum/go-ethereum/pull/20540,"{'consensus': 1, 'storage': 1}","{'fc392395fbb7d26d8b2123b12402225b9d4324d3', 'b5c4ea56b8718c3b74ca608678841fe2a2f0d718'}"
pull/20612,curated_match,tracers: avoid panic on invalid arguments ,https://github.com/ethereum/go-ethereum/pull/20612,{'evm': 2},"{'ee9ef1fbc4da0f606af2db028890654cfbf3f6d6', 'b09b9f55fc774297d5254e7507583601a33076ea', '33791dbeb51ce910983d15dda53fd83c05be9bb3'}"
pull/2399,curated_match,eth: fix accidental nil panic on nil errors,https://github.com/ethereum/go-ethereum/pull/2399,{'others': 1},"{'db739b506afe89ac2302614b37770bab44768974', '4326061e35a76ebf1bd02379bfc2f1d05dddc529'}"
pull/2574,curated_match,eth: skip transaction handling during fast sync,https://github.com/ethereum/go-ethereum/pull/2574,{'network': 2},"{'d87f7a1e817cbecbb62c012ed3811ceba933ae3a', 'c8a8ad97f7e8889ca9f3aece7ddb50cce8ef18c7'}"
pull/2711,curated_match,Fix #2710 Filter race: concurrent map read and map write,https://github.com/ethereum/go-ethereum/pull/2711,{'util': 2},"{'74ec95e7f6d0250dcc9bf51b8bd7e9c8c5431dfc', '51f8ce26cf6dbc20ddc548af305739db981fdd41'}"
pull/3067,curated_match,"cmd, core, tests: avoid hashing the code in the VM",https://github.com/ethereum/go-ethereum/pull/3067,"{'ui': 1, 'consensus': 2, 'storage': 1, 'evm': 4}","{'cb84e3f02953f2df166ae69369d222dcbbd7d78d', '0731b44809f72ed5880dc3654ee70ae85420bd77'}"
pull/3412,curated_match,core: bugfix state change race condition in txpool,https://github.com/ethereum/go-ethereum/pull/3412,"{'consensus': 2, 'policy': 1, 'network': 2}","{'4e36b1e3dadda62a53e309a1b6cf7aed97ea7a3a', '7e2d6177ead9a6bf4b4df1ec8f1b0ee28837660d'}"
pull/3519,curated_match,"les: fixed selectPeer deadlock, improved request distribution",https://github.com/ethereum/go-ethereum/pull/3519,"{'network': 4, 'node': 6}","{'681b51aac46fa11c235e9ac1af1228e0105a0720', '66979aa468b6329aabf49542bd3db14e59010c20', '93f9c023ccda2256079484d6c2a3159818ba6691'}"
pull/3591,curated_match,eth/downloader: fix mutex regression causing panics on fail,https://github.com/ethereum/go-ethereum/pull/3591,{'network': 2},"{'ebc3d232f4b6c197d5dc5da2e1868d56b2096f1a', 'f1069a30b9ca13769ace154ff25dfabc83f25485', 'b0ec4359a578958241fa5555063ce6c14c84a29b'}"
pull/687,curated_match,"xeth: fix #640, panic converting nil recipient to hex.",https://github.com/ethereum/go-ethereum/pull/687,{'ui': 2},"{'b2b1241dd74137b8c17aa70b2225f76297ca00cf', 'd1729acd2bb15401e6b9b6a41bd753b122771d3c', '20fd60902b5c6bea7b7d9fb7b9031ce5925bffc4'}"
