id,source_platform,issue_id,title,description_excerpt,source_url,authority_tier,severity,severity_source,label,root_cause,attack_path,suggested_scope,suggestion_reason,reviewed_scope,review_notes
74709c65793547a0,geth,CVE-2018-12018,Go Ethereum LES protocol implementation vulnerable to Denial of Service,"The GetBlockHeadersMsg handler in the LES protocol implementation in Go Ethereum (aka geth) before 1.8.11 may lead to an access violation because of an integer signedness error for the array index, which allows attackers to launch a Denial of Service attack by sending a packet with a -1 query.Skip value. The vulnerable remote node would be crashed by such an attack immediately, aka the EPoD (Ethereum Packet of Death) issue. ### Specific Go Packages Affected github.com/ethereum/go-ethereum/les",https://nvd.nist.gov/vuln/detail/CVE-2018-12018,A_authoritative,High,upstream-cvss,sync,missing_bounds_check,malicious_p2p_message,client_implementation,client product named in title/description,,
d6a02420f6ae46dd,geth,CVE-2018-16733,Go Ethereum Improper Input Validation,"In Go Ethereum (aka geth) before 1.8.14, TraceChain in eth/api_tracer.go does not verify that the end block is after the start block. ### Specific Go Packages Affected github.com/ethereum/go-ethereum/eth",https://nvd.nist.gov/vuln/detail/CVE-2018-16733,A_authoritative,High,upstream-cvss,rpc,missing_input_validation,malformed_input,client_implementation,client product named in title/description,,
228c807be670b220,geth,CVE-2018-19184,Go Ethereum Denial of Service,`cmd/evm/runner.go` in Go Ethereum (aka geth) allows attackers to cause a denial of service (SEGV) via crafted bytecode. ### Specific Go Packages Affected github.com/ethereum/go-ethereum/cmd/evm,https://nvd.nist.gov/vuln/detail/CVE-2018-19184,A_authoritative,High,upstream-cvss,evm,missing_bounds_check,malformed_input,client_implementation,client product named in title/description,,
a35bfa6a16c0e362,geth,CVE-2018-20421,CVE-2018-20421,"Go Ethereum (aka geth) 1.8.19 allows attackers to cause a denial of service (memory consumption) by rewriting the length of a dynamic array in memory, and then writing data to a single memory location with a large index number, as demonstrated by use of ""assembly { mstore }"" followed by a ""c[0xC800000] = 0xFF"" assignment.",https://nvd.nist.gov/vuln/detail/CVE-2018-20421,A_authoritative,High,upstream-cvss,evm,missing_bounds_check,malicious_tx,client_implementation,client product named in title/description,,
a977ecb905797129,geth,CVE-2020-26240,CVE-2020-26240,"Go Ethereum, or ""Geth"", is the official Golang implementation of the Ethereum protocol. An ethash mining DAG generation flaw in Geth before version 1.9.24 could cause miners to erroneously calculate PoW in an upcoming epoch (estimated early January, 2021). This happened on the ETC chain on 2020-11-06. This issue is relevant only for miners, non-mining nodes are unaffected. This issue is fixed as of 1.9.24",https://nvd.nist.gov/vuln/detail/CVE-2020-26240,A_authoritative,Medium,upstream-cvss,block-processing,other,internal_only,client_implementation,client product named in title/description,,
342ad9e80eb3747b,geth,CVE-2020-26241,CVE-2020-26241,"Go Ethereum, or ""Geth"", is the official Golang implementation of the Ethereum protocol. This is a Consensus vulnerability in Geth before version 1.9.17 which can be used to cause a chain-split where vulnerable nodes reject the canonical chain. Geth's pre-compiled dataCopy (at 0x00...04) contract did a shallow copy on invocation. An attacker could deploy a contract that writes X to an EVM memory region R, then calls 0x00..04 with R as an argument, then overwrites R to Y, and finally invokes the R",https://nvd.nist.gov/vuln/detail/CVE-2020-26241,A_authoritative,Medium,upstream-cvss,precompiles,improper_state_update,malicious_tx,client_implementation,client product named in title/description,,
40629fd371ea92ae,geth,CVE-2020-26265,CVE-2020-26265,"Go Ethereum, or ""Geth"", is the official Golang implementation of the Ethereum protocol. In Geth from version 1.9.4 and before version 1.9.20 a consensus-vulnerability could cause a chain split, where vulnerable versions refuse to accept the canonical chain. The fix was included in the Paragade release version 1.9.20. No individual workaround patches have been made -- all users are recommended to upgrade to a newer version.",https://nvd.nist.gov/vuln/detail/CVE-2020-26265,A_authoritative,Medium,upstream-cvss,block-processing,consensus_divergence,malicious_block,client_implementation,client product named in title/description,,
28386a66ef9f34bc,geth,CVE-2021-41173,CVE-2021-41173,"Go Ethereum is the official Golang implementation of the Ethereum protocol. Prior to version 1.10.9, a vulnerable node is susceptible to crash when processing a maliciously crafted message from a peer. Version v1.10.9 contains patches to the vulnerability. There are no known workarounds aside from upgrading.",https://nvd.nist.gov/vuln/detail/CVE-2021-41173,A_authoritative,Medium,upstream-cvss,p2p,missing_input_validation,malicious_p2p_message,client_implementation,client product named in title/description,,
762246407b6270cf,geth,CVE-2022-23327,Denial of Service in Go-Ethereum,"A design flaw in Go-Ethereum 1.10.12 and older versions allows an attacker node to send 5120 future transactions with a high gas price in one message, which can purge all of pending transactions in a victim node's memory pool, causing a denial of service (DoS).",https://nvd.nist.gov/vuln/detail/CVE-2022-23327,A_authoritative,High,upstream-cvss,txpool,resource_exhaustion,malicious_tx,client_implementation,client product named in title/description,,
caad43d8de668c43,geth,CVE-2022-29177,CVE-2022-29177,"Go Ethereum is the official Golang implementation of the Ethereum protocol. Prior to version 1.10.17, a vulnerable node, if configured to use high verbosity logging, can be made to crash when handling specially crafted p2p messages sent from an attacker node. Version 1.10.17 contains a patch that addresses the problem. As a workaround, setting loglevel to default level (`INFO`) makes the node not vulnerable to this attack.",https://nvd.nist.gov/vuln/detail/CVE-2022-29177,A_authoritative,Medium,upstream-cvss,p2p,missing_input_validation,malicious_p2p_message,client_implementation,client product named in title/description,,
1362ec0ca1855226,geth,CVE-2022-37450,CVE-2022-37450,"Go Ethereum (aka geth) through 1.10.21 allows attackers to increase rewards by mining blocks in certain situations, and using a manipulation of time-difference values to achieve replacement of main-chain blocks, aka Riskless Uncle Making (RUM), as exploited in the wild in 2020 through 2022.",https://nvd.nist.gov/vuln/detail/CVE-2022-37450,A_authoritative,Medium,upstream-cvss,block-processing,missing_input_validation,malicious_block,client_implementation,client product named in title/description,,
4bb523e194701da7,geth,CVE-2023-40591,Go-Ethereum vulnerable to denial of service via malicious p2p message,"### Impact A vulnerable node, can be made to consume unbounded amounts of memory when handling specially crafted p2p messages sent from an attacker node. ### Details The p2p handler spawned a new goroutine to respond to `ping` requests. By flooding a node with ping requests, an unbounded number of goroutines can be created, leading to resource exhaustion and potentially crash due to OOM. ### Patches The fix is included in geth version `1.12.1-stable`, i.e, `1.12.2-unstable` and onwards. F",https://nvd.nist.gov/vuln/detail/CVE-2023-40591,A_authoritative,High,upstream-cvss,p2p,resource_exhaustion,malicious_p2p_message,client_implementation,client product named in title/description,,
d5796321d9ebf1ae,geth,CVE-2023-42319,go-ethereum vulnerable to denial of service via crafted GraphQL query,"Geth (aka go-ethereum) through 1.13.4, when `--http --graphql` is used, allows remote attackers to cause a denial of service (memory consumption and daemon hang) via a crafted GraphQL query. NOTE: the vendor's position is that the ""graphql endpoint [is not] designed to withstand attacks by hostile clients, nor handle huge amounts of clients/traffic.",https://nvd.nist.gov/vuln/detail/CVE-2023-42319,A_authoritative,High,upstream-cvss,rpc,resource_exhaustion,malformed_input,client_implementation,client product named in title/description,,
ba1acd77a48c7f43,geth,CVE-2024-32972,go-ethereum vulnerable to DoS via malicious p2p message,"### Impact A vulnerable node can be made to consume very large amounts of memory when handling specially crafted p2p messages sent from an attacker node. In order to carry out the attack, the attacker establishes a peer connections to the victim, and sends a malicious `GetBlockHeadersRequest` message with a `count` of `0`, using the `ETH` protocol. In `descendants := chain.GetHeadersFrom(num+count-1, count-1)`, the value of `count-1` is passed to the function `GetHeadersFrom(number, count u",https://nvd.nist.gov/vuln/detail/CVE-2024-32972,A_authoritative,High,upstream-cvss,p2p,integer_overflow_underflow,malicious_p2p_message,client_implementation,client product named in title/description,,
a4feb077db6061c1,geth,CVE-2026-22862,go-ethereum is vulnerable to DoS via malicious p2p message affecting a vulnerable node,**Impact** A vulnerable node can be forced to shutdown/crash using a specially crafted message. More details to be released later. **Credit** This issue was reported to the Ethereum Foundation Bug Bounty Program by DELENE TCHIO ROMUALD.,https://nvd.nist.gov/vuln/detail/CVE-2026-22862,A_authoritative,High,upstream-cvss,p2p,unhandled_error_or_nil,malicious_p2p_message,client_implementation,client product named in title/description,,
7a01ac34bb8f8f97,geth,CVE-2026-22868,go-ethereum is vulnerable to high CPU usage leading to DoS via malicious p2p message,**Impact** An attacker can cause high CPU usage by sending a specially crafted p2p message. More details to be released later. **Credit** This issue was reported to the Ethereum Foundation Bug Bounty Program by @Yenya030,https://nvd.nist.gov/vuln/detail/CVE-2026-22868,A_authoritative,High,upstream-cvss,p2p,resource_exhaustion,malicious_p2p_message,client_implementation,client product named in title/description,,
